,Unnamed: 0,ListingKey,LoanStatus,FriendsInvolved,LoanOriginalAmount,ListingCreationDate,FriendsInvolvedNum,LoanStatusNum,FriendsAndStatus
0,46,0F8B34281015537050D4FEC,Paid,Yes,4000,2008,1,1,Paid/True
1,108,10C034203841683992703F1,Paid,No,14000,2008,0,1,Paid/False
2,117,0F4B341445393357179A9C5,Paid,No,2000,2008,0,1,Paid/False
3,121,119034109962969937581AB,Paid,No,4000,2008,0,1,Paid/False
4,123,10D6343087886921049544C,Paid,No,12000,2008,0,1,Paid/False
5,131,11193430644352832E11281,Paid,No,12500,2008,0,1,Paid/False
6,132,10F1341448577160837015D,Paid,No,8600,2008,0,1,Paid/False
7,136,11033424414557921FA7656,Paid,No,3000,2008,0,1,Paid/False
8,150,10683423770994576084943,Paid,No,6500,2008,0,1,Paid/False
9,156,108834307409514865F11EE,Paid,No,5500,2008,0,1,Paid/False
10,241,2EBC3426392173872AC3827,Paid,No,1100,2008,0,1,Paid/False
11,258,30393422832767524FCE539,Paid,No,7000,2008,0,1,Paid/False
12,259,303E3411284124174A8668B,Paid,No,1000,2008,0,1,Paid/False
13,261,304534285742385679173B7,Paid,No,6000,2008,0,1,Paid/False
14,320,30D43428763365789DF354A,Defaulted,No,7300,2008,0,0,Defaulted/False
15,345,31003414136001733EF98F2,Paid,No,5500,2008,0,1,Paid/False
16,346,31093424399878843D2C40F,Paid,No,2000,2008,0,1,Paid/False
17,362,00BA341943039504432423F,Paid,No,10000,2008,0,1,Paid/False
18,367,00EA3417467785833467587,Paid,No,1545,2008,0,1,Paid/False
19,380,08F93416948042584D3BCAE,Paid,No,10000,2008,0,1,Paid/False
20,395,412934312165894856C0F8B,Paid,No,5000,2008,0,1,Paid/False
21,400,010E3432211680005CE327C,Paid,No,15000,2008,0,1,Paid/False
22,421,31773411053375955CA3F3E,Paid,No,1000,2008,0,1,Paid/False
23,427,44B53419610735556EC0E97,Paid,No,2100,2008,0,1,Paid/False
24,429,44BF34322836122899CEBC2,Paid,No,18000,2008,0,1,Paid/False
25,432,01013430425290444C60735,Paid,No,1000,2008,0,1,Paid/False
26,468,09A834184041992205EEB3B,Paid,No,4800,2008,0,1,Paid/False
27,480,01083415991046434E155DD,Paid,No,6000,2008,0,1,Paid/False
28,490,320D342139964586467F64C,Defaulted,No,7000,2008,0,0,Defaulted/False
29,533,3BE4341927911764278B293,Paid,No,5000,2008,0,1,Paid/False
30,541,455434250606619285A6242,Paid,No,7200,2008,0,1,Paid/False
31,568,32663410056892799ADBCDC,Defaulted,No,4000,2008,0,0,Defaulted/False
32,582,459D3418266771185D80EBB,Paid,No,2551,2008,0,1,Paid/False
33,594,092A3415560077501215B1A,Paid,No,10000,2008,0,1,Paid/False
34,619,2C6F3428440452392CD9909,Paid,No,3000,2008,0,1,Paid/False
35,628,45D834186203067587EA7E0,Paid,No,2500,2008,0,1,Paid/False
36,631,45F434167632757354F27A9,Paid,No,1500,2008,0,1,Paid/False
37,644,3C7C34215514372444DE4AE,Paid,No,1000,2008,0,1,Paid/False
38,650,3CC63424961235577CED7C9,Paid,No,3400,2008,0,1,Paid/False
39,651,00F23421117367118813432,Paid,No,15000,2008,0,1,Paid/False
40,679,08D034225017682167B6383,Paid,No,7500,2008,0,1,Paid/False
41,702,00C63414230168425BBB3A9,Paid,No,9500,2008,0,1,Paid/False
42,725,0A333418840357177C59FEC,Paid,No,2348,2008,0,1,Paid/False
43,735,3D5C34204606672915208D3,Paid,No,10000,2008,0,1,Paid/False
44,739,312334218045842214E5187,Paid,No,2000,2008,0,1,Paid/False
45,743,3146342014834032651EEC1,Paid,No,7400,2008,0,1,Paid/False
46,762,0A5F3416951046081827F5C,Paid,No,3500,2008,0,1,Paid/False
47,772,3D743417918330010E59A92,Paid,No,3500,2008,0,1,Paid/False
48,781,31803417032608077E3BF2D,Paid,No,1800,2008,0,1,Paid/False
49,790,012034185451269012303F2,Paid,Yes,1000,2008,1,1,Paid/True
50,795,00F0343244233918981458D,Paid,No,10000,2008,0,1,Paid/False
51,796,028C341369191670823894C,Paid,No,2500,2008,0,1,Paid/False
52,821,0A6F3428561159131449941,Paid,No,4500,2008,0,1,Paid/False
53,826,3DAE3411333739988854809,Paid,No,10000,2008,0,1,Paid/False
54,859,46EE34223473541024FC718,Defaulted,No,7000,2008,0,0,Defaulted/False
55,862,0A87342202131873676F210,Paid,Yes,7500,2008,1,1,Paid/True
56,865,0A8A34100334233603DD4F3,Paid,No,2690,2008,0,1,Paid/False
57,868,46F63428353710348386631,Paid,No,1000,2008,0,1,Paid/False
58,873,439F3412126532502C3B600,Paid,No,3000,2008,0,1,Paid/False
59,880,3DDA3429940114855A9F3D6,Paid,No,1000,2008,0,1,Paid/False
60,897,0AF53420989182846AAD718,Paid,No,7500,2008,0,1,Paid/False
